label,cell position,ch1,ch2,ch1+ch2
493,"1735.33, 2061.95",2,3,2
494,"1755.19, 2514.37",2,4,1
495,"1741.54, 2190.31",0,4,3
496,"1760.65, 1023.05",0,0,0
497,"1734.94, 3053.71",0,0,0
498,"1763.87, 145.42",1,2,2
499,"1760.58, 1123.79",2,3,2
500,"1768.79, 2724.90",1,3,2
501,"1758.00, 257.28",3,3,1
502,"1764.08, 2401.10",3,5,1
503,"1777.96, 1381.49",1,2,2
504,"1779.43, 2840.41",1,2,2
505,"1781.46, 689.85",1,4,2
506,"1781.89, 3992.81",2,3,1
507,"1778.41, 4073.09",3,1,0
508,"1785.64, 349.52",1,2,3
509,"1787.33, 84.62",0,2,2
510,"1827.66, 2929.32",0,0,0
511,"1810.76, 469.88",2,5,3
512,"1815.38, 2439.72",0,3,0
513,"1819.00, 3280.87",2,3,1
514,"1816.72, 3120.10",2,3,1
515,"1831.86, 230.72",2,2,0
516,"1823.09, 3904.98",0,0,0
517,"1825.76, 2377.93",2,3,2
518,"1841.58, 1218.36",2,2,1
519,"1834.13, 2168.05",1,4,3
520,"1832.42, 2570.60",1,4,2
521,"1832.39, 2852.78",2,4,1
522,"1857.29, 1103.06",1,4,2
523,"1837.19, 3358.38",3,6,1
524,"1869.19, 946.02",3,2,1
525,"1868.64, 1552.64",0,0,0
526,"1869.46, 4074.08",2,1,1
527,"1878.65, 65.82",2,3,3
528,"1867.16, 3497.19",1,1,2
529,"1860.77, 4006.52",2,2,1
530,"1883.97, 3801.15",1,3,2
531,"1893.27, 441.37",1,2,2
532,"1898.23, 3241.91",1,3,1
533,"1887.90, 366.43",1,4,2
534,"1887.82, 866.53",1,2,2
535,"1893.65, 1700.90",2,3,3
537,"1927.06, 3935.05",1,2,2
538,"1919.61, 3853.11",2,2,1
539,"1924.13, 2418.58",1,2,2
540,"1934.71, 2541.80",1,3,2
541,"1934.95, 805.31",2,2,1
542,"1930.92, 1646.56",1,3,2
543,"1948.51, 1029.31",2,4,3
544,"1953.64, 482.58",2,4,2
545,"1941.33, 908.87",1,0,0
546,"1944.96, 727.25",3,4,0
547,"1953.50, 381.89",2,4,2
548,"1963.84, 3466.87",1,5,2
549,"1967.99, 2707.03",2,4,2
550,"1975.00, 1778.15",2,3,2
551,"1965.91, 1167.06",0,3,3
552,"1977.30, 1481.79",2,3,2
553,"1961.43, 1128.99",0,0,0
554,"1994.87, 3636.77",1,3,2
555,"1985.93, 77.98",1,3,2
556,"1999.30, 1108.86",1,1,0
557,"1988.17, 2332.03",0,3,3
558,"1990.29, 2816.78",0,1,1
559,"2002.60, 750.58",1,3,2
560,"1995.15, 3986.28",2,2,1
561,"2018.84, 945.60",1,6,2
562,"2015.11, 3232.22",1,4,1
563,"2013.81, 4067.75",2,3,1
564,"2017.60, 3124.93",1,3,2
566,"2023.79, 627.29",1,13,4
567,"2034.45, 3897.02",1,3,2
568,"2043.11, 2488.99",2,3,2
570,"2046.48, 2590.83",1,3,2
571,"2061.86, 1384.94",2,3,3
572,"2059.78, 2410.05",1,2,2
573,"2074.41, 2758.82",2,2,2
574,"2080.73, 1057.14",2,6,2
575,"2065.69, 1783.58",2,3,1
576,"2080.98, 4063.54",1,2,2
577,"2082.26, 2659.16",1,2,2
578,"2087.22, 1592.00",0,0,0
579,"2107.75, 1506.17",2,4,1
580,"2105.01, 2564.46",1,3,2
581,"2119.97, 2311.67",1,4,2
582,"2129.44, 2877.53",1,4,3
583,"2129.62, 959.83",3,4,0
584,"2134.43, 3082.60",2,3,2
585,"2129.92, 2801.28",0,0,0
586,"2148.49, 3912.38",1,2,2
587,"2158.79, 3506.00",2,4,1
588,"2147.24, 1310.16",1,2,2
589,"2166.59, 3403.09",1,3,2
590,"2147.71, 2440.49",0,0,0
591,"2163.94, 3634.63",1,2,2
592,"2171.37, 2743.80",1,3,1
593,"2166.96, 36.03",2,3,1
594,"2165.24, 2802.07",0,0,0
595,"2180.77, 901.29",3,2,1
596,"2189.97, 2577.40",2,4,1
597,"2207.99, 2499.98",3,2,2
598,"2196.02, 335.65",0,1,0
599,"2199.08, 4073.14",0,1,0
600,"2192.30, 1612.64",0,1,0
602,"2200.76, 1987.06",1,3,2
603,"2237.29, 2104.73",1,4,2
604,"2210.49, 1497.58",1,4,2
605,"2211.37, 1374.65",2,4,1
606,"2212.60, 2356.07",1,2,2
607,"2216.13, 1201.42",1,2,2
608,"2234.12, 2667.07",2,3,1
609,"2243.99, 3994.79",2,4,2
610,"2256.01, 2765.57",1,3,2
612,"2249.45, 3840.93",1,3,1
613,"2252.73, 1055.44",2,3,2
614,"2237.75, 3223.02",0,2,0
615,"2238.75, 1931.41",1,2,1
616,"2251.12, 315.06",3,4,1
617,"2267.52, 1640.55",1,4,2
618,"2256.45, 482.49",1,3,2
619,"2253.52, 3678.89",0,0,0
620,"2272.60, 1267.86",1,7,4
621,"2270.98, 2267.66",0,1,1
622,"2283.55, 548.99",3,6,1
623,"2292.99, 241.01",2,3,1
624,"2289.23, 3545.75",1,3,2
625,"2310.59, 2605.57",1,5,3
626,"2312.25, 2440.56",2,5,2
627,"2305.33, 344.71",3,4,0
628,"2322.08, 2340.16",2,2,2
629,"2323.90, 1933.43",1,2,2
630,"2326.91, 1825.98",1,2,2
631,"2337.43, 3950.34",1,3,3
632,"2343.07, 1383.80",0,3,1
633,"2350.84, 2124.23",1,4,2
634,"2345.86, 3787.34",1,3,1
635,"2359.50, 2019.45",2,4,2
636,"2348.59, 653.05",1,4,2
637,"2344.51, 2543.24",0,2,3
638,"2346.24, 3487.05",2,2,1
639,"2345.69, 487.34",0,1,0
640,"2363.93, 1190.64",1,4,2
641,"2362.94, 3126.70",1,3,2
642,"2363.20, 2816.13",2,6,2
643,"2360.60, 1701.34",1,4,3
644,"2358.97, 350.74",0,2,2
645,"2372.38, 1891.96",1,3,2
646,"2371.74, 1052.81",1,8,3
647,"2364.31, 3848.59",1,2,1
648,"2366.24, 2900.47",0,1,0
649,"2370.20, 1322.41",2,2,1
650,"2393.36, 3014.27",1,3,2
651,"2380.81, 3604.00",3,2,0
652,"2377.35, 1770.81",0,2,2
653,"2379.29, 3198.62",1,5,2
654,"2396.35, 1516.54",1,1,2
655,"2400.44, 2677.04",1,2,2
656,"2399.52, 246.74",1,3,3
657,"2395.56, 1442.49",1,4,1
658,"2400.05, 760.58",1,3,2
659,"2425.88, 388.85",1,2,2
660,"2430.41, 3300.36",1,2,2
661,"2425.46, 3701.75",3,1,2
662,"2431.77, 2201.68",3,3,2
663,"2432.12, 3501.17",2,3,1
664,"2437.07, 2857.12",2,3,1
665,"2440.61, 2938.46",1,3,2
666,"2432.39, 1130.64",1,4,2
667,"2438.06, 1200.44",1,3,2
668,"2447.60, 1969.08",1,3,2
669,"2437.28, 1736.12",0,0,0
670,"2457.68, 3980.60",3,3,0
671,"2451.14, 2730.96",2,4,0
672,"2477.75, 1050.79",2,7,8
673,"2468.22, 746.31",1,2,2
674,"2470.92, 969.24",0,0,0
675,"2471.23, 2040.23",2,4,3
676,"2481.66, 21.35",1,2,3
677,"2480.08, 3135.19",2,2,1
678,"2481.66, 1716.60",1,2,2
679,"2492.56, 1803.15",1,3,2
680,"2491.28, 1382.53",2,3,1
681,"2513.01, 3039.30",1,3,2
682,"2511.46, 437.13",2,5,2
683,"2521.62, 1250.06",1,3,1
684,"2510.22, 2202.47",1,1,1
685,"2527.92, 2814.72",1,4,1
686,"2527.29, 3426.59",0,3,2
687,"2531.68, 3982.93",0,3,2
688,"2533.66, 3726.21",1,2,2
689,"2545.63, 1136.99",1,3,2
690,"2536.22, 3213.67",1,9,2
691,"2550.26, 775.25",2,3,2
692,"2545.11, 1607.20",2,4,2
693,"2556.67, 1777.61",1,3,2
694,"2557.88, 1667.76",2,3,2
695,"2558.15, 2262.68",2,4,2
696,"2572.68, 1421.90",2,4,1
697,"2576.20, 883.87",1,3,1
698,"2568.40, 4042.06",2,2,1
699,"2563.32, 1926.69",1,2,2
700,"2562.97, 2004.56",3,3,1
701,"2564.19, 2684.91",0,0,0
702,"2584.86, 3140.74",1,5,2
703,"2577.32, 1330.38",2,3,1
704,"2588.46, 3330.03",3,2,0
705,"2597.94, 989.68",2,11,3
706,"2578.53, 2743.43",0,0,0
707,"2628.34, 1162.49",2,4,2
708,"2620.36, 1519.94",3,5,1
709,"2601.18, 2690.11",0,0,0
710,"2608.21, 3599.50",0,4,2
711,"2610.89, 2271.40",2,3,2
712,"2621.83, 2176.20",2,2,1
713,"2622.81, 1287.40",1,4,2
714,"2633.70, 1690.71",1,2,2
715,"2633.20, 2101.54",0,3,2
716,"2638.59, 1757.77",0,0,0
717,"2642.35, 2023.12",1,3,2
718,"2646.93, 3986.28",2,2,1
719,"2655.54, 802.46",0,0,0
720,"2659.77, 3232.46",1,5,2
721,"2661.37, 2358.83",1,3,2
722,"2666.97, 2436.64",1,3,2
723,"2678.76, 1858.64",2,3,3
724,"2658.78, 901.09",1,4,3
725,"2678.00, 981.14",1,3,2
726,"2681.66, 3596.18",1,4,2
727,"2681.91, 1956.22",1,4,3
728,"2684.65, 2868.36",2,4,1
729,"2686.73, 3096.21",2,2,1
730,"2697.15, 199.74",1,3,2
731,"2691.71, 1584.43",2,3,2
732,"2702.08, 3762.53",2,4,1
733,"2705.89, 3407.09",1,3,2
734,"2702.19, 2232.00",1,4,2
735,"2696.53, 3653.14",2,3,1
736,"2694.51, 1498.19",4,3,1
737,"2707.41, 2790.95",1,2,2
738,"2728.43, 1134.76",2,4,5
739,"2722.00, 2475.81",2,2,1
740,"2725.67, 50.34",1,4,2
741,"2729.58, 2537.81",0,2,2
742,"2736.77, 2133.85",2,4,0
743,"2751.46, 3571.54",1,3,2
744,"2739.79, 359.51",0,2,2
745,"2752.56, 2304.57",0,0,0
746,"2747.93, 2944.05",1,3,2
747,"2754.46, 546.66",2,3,0
748,"2751.90, 810.28",1,3,2
749,"2755.29, 3470.87",1,3,2
750,"2768.78, 110.35",0,1,0
751,"2765.08, 2396.38",1,2,2
752,"2771.99, 900.46",1,3,2
753,"2770.60, 2640.67",1,3,3
754,"2777.45, 3724.99",2,3,2
