label,cell position,ch1,ch2,ch1+ch2
381,"2335.82, 763.33",0,1,0
382,"2384.74, 1928.99",0,1,2
386,"2366.92, 137.78",0,0,3
387,"2363.92, 1246.41",0,1,1
388,"2388.09, 608.08",0,2,2
389,"2368.79, 818.59",1,2,0
390,"2385.34, 1785.82",1,2,1
391,"2355.47, 2365.80",0,2,1
392,"2398.24, 3279.47",1,2,1
393,"2400.74, 2856.03",2,2,1
395,"2402.99, 224.14",0,1,2
396,"2398.73, 731.24",0,0,0
397,"2408.96, 3594.27",0,2,2
398,"2403.15, 3482.41",0,2,2
399,"2408.82, 868.28",0,0,0
400,"2410.62, 3179.59",1,1,0
401,"2425.65, 65.34",0,1,2
402,"2444.35, 3974.19",0,2,1
403,"2419.26, 1236.29",3,6,0
404,"2426.80, 4086.25",0,0,0
405,"2438.05, 2452.32",4,8,3
406,"2433.29, 1738.37",1,4,1
409,"2456.34, 13.18",0,3,3
410,"2448.30, 142.28",0,1,2
411,"2462.77, 990.64",0,1,2
412,"2473.84, 1669.75",0,1,2
414,"2484.07, 3463.98",0,3,4
415,"2481.39, 1296.45",0,3,2
417,"2483.94, 808.07",1,2,1
418,"2480.31, 3713.97",0,2,2
420,"2494.45, 296.19",0,2,2
421,"2464.15, 1458.33",0,0,0
422,"2478.05, 2780.02",1,7,2
423,"2501.94, 3883.44",0,1,2
427,"2514.30, 123.54",2,2,1
432,"2528.08, 3405.91",0,1,2
433,"2563.48, 1131.10",0,2,2
435,"2541.09, 51.98",1,3,2
436,"2544.80, 743.79",0,1,0
437,"2539.25, 3564.46",0,2,2
438,"2531.69, 2815.53",0,0,0
441,"2565.41, 2730.61",1,1,2
442,"2590.01, 1421.12",0,2,2
443,"2574.79, 1512.82",1,3,1
444,"2570.13, 3327.35",0,1,2
445,"2592.53, 1591.47",1,2,1
446,"2588.17, 978.57",1,2,1
449,"2602.08, 4087.80",0,0,0
451,"2626.06, 3168.06",1,2,1
452,"2640.35, 2847.60",1,3,2
453,"2620.35, 2511.33",3,2,2
454,"2620.90, 729.46",0,0,0
455,"2655.07, 1542.33",1,2,1
457,"2642.46, 2018.86",0,3,1
458,"2654.03, 121.54",1,2,2
460,"2649.94, 3542.42",1,0,1
462,"2665.28, 821.75",1,2,1
463,"2677.14, 491.95",1,3,1
464,"2680.41, 3071.69",0,2,2
465,"2682.09, 699.57",0,1,1
467,"2678.43, 2538.50",1,2,2
468,"2686.45, 366.93",0,2,2
469,"2686.82, 638.13",0,2,3
470,"2697.26, 1906.86",0,3,3
471,"2692.57, 3196.84",1,2,1
472,"2726.01, 1966.03",0,3,2
473,"2719.95, 2902.91",0,2,2
474,"2750.25, 1795.43",2,2,2
475,"2758.59, 165.65",0,1,2
476,"2769.54, 2041.27",0,2,2
477,"2757.14, 2630.01",1,3,2
478,"2758.97, 2705.45",0,1,2
479,"2785.70, 3452.67",0,3,2
480,"2771.73, 1557.85",0,0,0
482,"2774.40, 1971.60",0,3,2
484,"2825.00, 1402.90",0,1,2
485,"2791.74, 1905.78",0,0,0
486,"2828.09, 912.71",1,0,0
489,"2833.38, 2684.32",0,2,2
490,"2828.80, 2409.53",0,2,2
494,"2882.64, 1506.35",1,5,3
495,"2859.48, 2462.95",2,3,1
499,"2873.50, 2101.43",0,1,2
500,"2875.65, 3511.46",2,2,2
501,"2871.86, 1856.99",1,1,1
502,"2878.97, 1628.32",0,3,4
503,"2913.43, 2659.95",3,4,2
504,"2931.00, 3827.00",1,1,1
507,"2940.87, 2924.67",0,2,2
509,"2958.16, 2142.61",1,1,0
513,"2981.78, 1061.05",0,1,1
514,"2982.64, 54.23",2,1,0
515,"2985.79, 2544.99",0,1,1
516,"2989.28, 1382.32",0,1,1
